Category,City,Country,Customer Name,Order Date,Order ID,Postal Code,Product Name,Region,Segment,Ship Date,Ship Mode,State,Sub-Category,Days to Ship Actual,Days to Ship Scheduled,Discount,Number of Records,Profit,Profit Ratio,Quantity,Sales,Sales Forecast,Sales per Customer
Office Supplies,Richmond,United States,Roy Phan,5/4/2011,US-2011-157231,40475,Ibico Standard Transparent Covers,South,Corporate,9/4/2011,Standard Class,Kentucky,Binders,4,6,0,1,57,0.49,7,115,151,115.36
Technology,Alexandria,United States,Greg Maxwell,5/4/2011,CA-2011-102988,22304,AT&T CL82213,South,Corporate,9/4/2011,Second Class,Virginia,Phones,4,3,0,1,8,0.29,1,29,38,28.99
Furniture,Philadelphia,United States,Shirley Daniels,6/4/2011,US-2011-118486,19143,KI Adjustable-Height Table,East,Home Office,8/4/2011,First Class,Pennsylvania,Tables,2,1,0.4,1,-36,-0.233,3,155,203,154.76
Office Supplies,Philadelphia,United States,Shirley Daniels,6/4/2011,US-2011-118486,19143,Martin-Yale Premier Letter Opener,East,Home Office,8/4/2011,First Class,Pennsylvania,Supplies,2,1,0.2,1,-2,-0.213,1,10,14,10.3
Technology,Philadelphia,United States,Shirley Daniels,6/4/2011,US-2011-118486,19143,Imation Secure+ Hardware Encrypted USB 2.0 Flash Drive; 16GB,East,Home Office,8/4/2011,First Class,Pennsylvania,Accessories,2,1,0.2,1,22,0.188,2,117,153,116.78
Office Supplies,Lancaster,United States,Guy Phonely,6/4/2011,CA-2011-136742,17602,Large Capacity Hanging Post Binders,East,Corporate,10/4/2011,Standard Class,Pennsylvania,Binders,4,6,0.7,1,-36,-0.8,6,45,59,44.91
Office Supplies,Los Angeles,United States,Frank Hawley,6/4/2011,CA-2011-153808,90004,Boston Home & Office Model 2000 Electric Pencil Sharpeners,West,Corporate,10/4/2011,Second Class,California,Art,4,3,0,1,18,0.26,3,71,93,70.95
Office Supplies,Los Angeles,United States,Frank Hawley,6/4/2011,CA-2011-153808,90004,"Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets",West,Corporate,10/4/2011,Second Class,California,Binders,4,3,0.2,1,24,0.363,2,66,86,65.57
Technology,Los Angeles,United States,Frank Hawley,6/4/2011,CA-2011-153808,90004,Razer Kraken 7.1 Surround Sound Over Ear USB Gaming Headset,West,Corporate,10/4/2011,Second Class,California,Accessories,4,3,0,1,132,0.44,3,300,393,299.97
Furniture,Los Angeles,United States,Andy Yotov,6/4/2011,CA-2011-102652,90049,C-Line Cubicle Keepers Polyproplyene Holder With Velcro Backings,West,Corporate,12/4/2011,Standard Class,California,Furnishings,6,6,0,1,13,0.39,7,33,43,33.11
Furniture,Los Angeles,United States,Andy Yotov,6/4/2011,CA-2011-102652,90049,Tenex B1-RE Series Chair Mats for Low Pile Carpets,West,Corporate,12/4/2011,Standard Class,California,Furnishings,6,6,0,1,16,0.17,2,92,121,91.96
Furniture,Seattle,United States,Scott Cohen,6/4/2011,CA-2011-169803,98115,"Chromcraft Bull-Nose Wood Round Conference Table Top, Wood Base",West,Corporate,12/4/2011,Standard Class,Washington,Tables,6,6,0,1,111,0.17,3,654,856,653.55
Office Supplies,Los Angeles,United States,Andy Yotov,6/4/2011,CA-2011-102652,90049,Xerox 194,West,Corporate,12/4/2011,Standard Class,California,Paper,6,6,0,1,27,0.48,1,55,73,55.48
Office Supplies,Los Angeles,United States,Andy Yotov,6/4/2011,CA-2011-102652,90049,Xerox 211,West,Corporate,12/4/2011,Standard Class,California,Paper,6,6,0,1,9,0.48,3,19,25,19.44
Technology,Seattle,United States,Scott Cohen,6/4/2011,CA-2011-169803,98115,Kingston Digital DataTraveler 32GB USB 2.0,West,Corporate,12/4/2011,Standard Class,Washington,Accessories,6,6,0,1,2,0.06,2,34,44,33.9
Office Supplies,Marietta,United States,Valerie Mitchum,7/4/2011,CA-2011-165806,30062,Xerox 226,South,Home Office,7/4/2011,Same Day,Georgia,Paper,0,0,0,1,28,0.48,9,58,76,58.32
Technology,Marietta,United States,Valerie Mitchum,7/4/2011,CA-2011-165806,30062,RCA Visys Integrated PBX 8-Line Router,South,Home Office,7/4/2011,Same Day,Georgia,Phones,0,0,0,1,50,0.25,3,201,263,200.97
Furniture,Mobile,United States,Pauline Johnson,7/4/2011,CA-2011-124023,36608,"Stacking Tray, Side-Loading, Legal, Smoke",South,Consumer,10/4/2011,First Class,Alabama,Furnishings,3,1,0,1,3,0.31,2,9,12,8.96
Office Supplies,Columbia,United States,Roland Schwarz,7/4/2011,CA-2011-128846,29203,Xerox 1945,South,Corporate,12/4/2011,Standard Class,South Carolina,Paper,5,6,0,1,60,0.49,3,123,161,122.97
Technology,Columbia,United States,Roland Schwarz,7/4/2011,CA-2011-128846,29203,AT&T TR1909W,South,Corporate,12/4/2011,Standard Class,South Carolina,Phones,5,6,0,1,164,0.26,5,630,825,629.95
Furniture,Toledo,United States,John Stevenson,8/4/2011,CA-2011-121769,43615,Riverside Furniture Stanwyck Manor Table Series,East,Consumer,12/4/2011,Standard Class,Ohio,Tables,4,6,0.4,1,-95,-0.55,1,172,226,172.11
Furniture,Decatur,United States,Ruben Ausman,8/4/2011,US-2011-118997,35601,"SAFCO PlanMaster Boards, 60w x 37-1/2d, White Melamine",South,Corporate,12/4/2011,Standard Class,Alabama,Tables,4,6,0,1,316,0.26,8,1216,1593,1215.92
Furniture,Concord,United States,Nathan Mautz,8/4/2011,CA-2011-150581,94521,Bevis 36 x 72 Conference Tables,West,Home Office,12/4/2011,Standard Class,California,Tables,4,6,0.2,1,2,0.025,1,100,131,99.59
Technology,Concord,United States,Nathan Mautz,8/4/2011,CA-2011-150581,94521,Logitech Wireless Headset h800,West,Home Office,12/4/2011,Standard Class,California,Accessories,4,6,0,1,140,0.35,4,400,524,399.96
Office Supplies,Chandler,United States,Pauline Chand,8/4/2011,US-2011-163797,85224,"Alliance Super-Size Bands, Assorted Sizes",West,Home Office,13/4/2011,Standard Class,Arizona,Fasteners,5,6,0.2,1,-12,-0.238,8,50,65,49.79
Office Supplies,Glendale,United States,Jim Mitchum,8/4/2011,CA-2011-100363,85301,Binder Clips by OIC,West,Corporate,15/4/2011,Standard Class,Arizona,Fasteners,7,6,0.2,1,1,0.35,2,2,3,2.37
Office Supplies,Glendale,United States,Jim Mitchum,8/4/2011,CA-2011-100363,85301,Things To Do Today Spiral Book,West,Corporate,15/4/2011,Standard Class,Arizona,Paper,7,6,0.2,1,7,0.363,3,19,25,19.01
Office Supplies,Miami,United States,Jay Kimmel,11/4/2011,US-2011-102715,33180,"Acco Banker's Clasps, 5 3/4""-Long",South,Consumer,13/4/2011,Second Class,Florida,Fasteners,2,3,0.2,1,2,0.338,3,7,9,6.91
Office Supplies,Miami,United States,Jay Kimmel,11/4/2011,US-2011-102715,33180,Xerox 224,South,Consumer,13/4/2011,Second Class,Florida,Paper,2,3,0.2,1,4,0.35,2,10,14,10.37
Technology,Miami,United States,Jay Kimmel,11/4/2011,US-2011-102715,33180,Logitech Wireless Anywhere Mouse MX for PC and Mac,South,Consumer,13/4/2011,Second Class,Florida,Accessories,2,3,0.2,1,42,0.125,7,336,440,335.94
Technology,Miami,United States,Jay Kimmel,11/4/2011,US-2011-102715,33180,Logitech Wireless Gaming Headset G930,South,Consumer,13/4/2011,Second Class,Florida,Accessories,2,3,0.2,1,82,0.213,3,384,503,383.98
Office Supplies,Lewiston,United States,Sanjit Engle,11/4/2011,US-2011-121734,83501,GBC Personal VeloBind Strips,West,Consumer,16/4/2011,Standard Class,Idaho,Binders,5,6,0.2,1,3,0.35,1,10,13,9.58
Technology,Austin,United States,Gary Mitchum,11/4/2011,CA-2011-138940,78745,Jawbone JAMBOX Wireless Bluetooth Speaker,Central,Home Office,16/4/2011,Second Class,Texas,Phones,5,3,0.2,1,265,0.35,6,758,994,758.35
Office Supplies,Great Falls,United States,Michelle Moray,11/4/2011,CA-2011-110555,59405,Eldon Simplefile Box Office,West,Consumer,18/4/2011,Standard Class,Montana,Storage,7,6,0,1,24,0.28,7,87,114,87.08
Technology,Great Falls,United States,Michelle Moray,11/4/2011,CA-2011-110555,59405,Memorex Mini Travel Drive 64 GB USB 2.0 Flash Drive,West,Consumer,18/4/2011,Standard Class,Montana,Accessories,7,6,0,1,91,0.42,6,217,285,217.44
Technology,Great Falls,United States,Michelle Moray,11/4/2011,CA-2011-110555,59405,AT&T SB67148 SynJ,West,Consumer,18/4/2011,Standard Class,Montana,Phones,7,6,0.2,1,9,0.088,2,106,138,105.58
Furniture,Redondo Beach,United States,Kean Nguyen,12/4/2011,CA-2011-154599,90278,O'Sullivan Living Dimensions 2-Shelf Bookcases,West,Corporate,17/4/2011,Standard Class,California,Bookcases,5,6,0.15,1,-18,-0.059,3,308,404,308.5
Office Supplies,Bloomington,United States,Stewart Visinsky,12/4/2011,US-2011-158365,47401,Xerox 213,Central,Consumer,17/4/2011,Standard Class,Indiana,Paper,5,6,0,1,16,0.48,5,32,42,32.4
Office Supplies,Redondo Beach,United States,Kean Nguyen,12/4/2011,CA-2011-154599,90278,Recycled Pressboard Report Cover with Reinforced Top Hinge,West,Corporate,17/4/2011,Standard Class,California,Binders,5,6,0.2,1,7,0.363,7,18,24,18.09
Technology,Redondo Beach,United States,Kean Nguyen,12/4/2011,CA-2011-154599,90278,AT&T 1080 Corded phone,West,Corporate,17/4/2011,Standard Class,California,Phones,5,6,0.2,1,38,0.088,4,438,574,438.37
Technology,Redondo Beach,United States,Kean Nguyen,12/4/2011,CA-2011-154599,90278,Pyle PMP37LED,West,Corporate,17/4/2011,Standard Class,California,Phones,5,6,0.2,1,94,0.088,14,1075,1409,1075.09
Office Supplies,Lodi,United States,Edward Hooks,12/4/2011,CA-2011-142979,95240,Prismacolor Color Pencil Set,West,Corporate,18/4/2011,Standard Class,California,Art,6,6,0,1,16,0.41,2,40,52,39.68
Office Supplies,Philadelphia,United States,Jonathan Doherty,13/4/2011,CA-2011-122336,19140,Newell 314,East,Corporate,17/4/2011,Second Class,Pennsylvania,Art,4,3,0.2,1,1,0.062,4,18,23,17.86
Office Supplies,Philadelphia,United States,Jonathan Doherty,13/4/2011,CA-2011-122336,19140,Fellowes PB200 Plastic Comb Binding Machine,East,Corporate,17/4/2011,Second Class,Pennsylvania,Binders,4,3,0.7,1,-408,-0.8,10,510,668,509.97
Office Supplies,Philadelphia,United States,Jonathan Doherty,13/4/2011,CA-2011-122336,19140,Staples,East,Corporate,17/4/2011,Second Class,Pennsylvania,Fasteners,4,3,0.2,1,10,0.325,13,31,41,30.99
Technology,Philadelphia,United States,Jonathan Doherty,13/4/2011,CA-2011-122336,19140,"Square Credit Card Reader, 4 1/2"" x 4 1/2"" x 1"", White",East,Corporate,17/4/2011,Second Class,Pennsylvania,Phones,4,3,0.4,1,8,0.117,12,72,94,71.93
Office Supplies,Baltimore,United States,Ben Ferrer,13/4/2011,CA-2011-167724,21215,Avery 479,East,Home Office,18/4/2011,Standard Class,Maryland,Labels,5,6,0,1,4,0.46,3,8,10,7.83
Furniture,Los Angeles,United States,Paul Stevenson,15/4/2011,US-2011-120740,90049,"Howard Miller 13"" Diameter Goldtone Round Wall Clock",West,Home Office,15/4/2011,Same Day,California,Furnishings,0,0,0,1,77,0.41,4,188,246,187.76
Office Supplies,Los Angeles,United States,Paul Stevenson,15/4/2011,US-2011-120740,90049,Belkin F9G930V10-GRY 9 Outlet Surge,West,Home Office,15/4/2011,Same Day,California,Appliances,0,0,0,1,31,0.29,2,107,140,106.96
Office Supplies,Wilmington,United States,Stephanie Phelps,16/4/2011,CA-2011-155208,28403,"Avery Hi-Liter EverBold Pen Style Fluorescent Highlighters, 4/Pack",South,Corporate,20/4/2011,Standard Class,North Carolina,Art,4,6,0.2,1,10,0.25,6,39,51,39.07
Furniture,Houston,United States,Kunst Miller,18/4/2011,CA-2011-100678,77095,DMI Arturo Collection Mission-style Design Wood Chair,Central,Consumer,22/4/2011,Standard Class,Texas,Chairs,4,6,0.3,1,-18,-0.057,3,317,415,317.06
Office Supplies,Houston,United States,Kunst Miller,18/4/2011,CA-2011-100678,77095,Prang Dustless Chalk Sticks,Central,Consumer,22/4/2011,Standard Class,Texas,Art,4,6,0.2,1,1,0.375,2,3,4,2.69
Office Supplies,Houston,United States,Kunst Miller,18/4/2011,CA-2011-100678,77095,Cameo Buff Policy Envelopes,Central,Consumer,22/4/2011,Standard Class,Texas,Envelopes,4,6,0.2,1,50,0.338,3,149,196,149.35
Technology,Houston,United States,Kunst Miller,18/4/2011,CA-2011-100678,77095,Kensington Expert Mouse Optical USB Trackball for PC or Mac,Central,Consumer,22/4/2011,Standard Class,Texas,Accessories,4,6,0.2,1,28,0.125,3,228,299,227.98
Office Supplies,Los Angeles,United States,John Lee,18/4/2011,CA-2011-110849,90049,"Binney & Smith inkTank Desk Highlighter, Chisel Tip, Yellow, 12/Box",West,Consumer,23/4/2011,Standard Class,California,Art,5,6,0,1,4,0.33,5,11,14,10.75
Office Supplies,Los Angeles,United States,John Lee,18/4/2011,CA-2011-110849,90049,Newell 351,West,Consumer,23/4/2011,Standard Class,California,Art,5,6,0,1,4,0.29,4,13,17,13.12
Office Supplies,Los Angeles,United States,John Lee,18/4/2011,CA-2011-110849,90049,"Advantus Push Pins, Aluminum Head",West,Consumer,23/4/2011,Standard Class,California,Fasteners,5,6,0,1,4,0.31,2,12,15,11.62
Technology,Los Angeles,United States,John Lee,18/4/2011,CA-2011-110849,90049,Ativa MDM8000 8-Sheet Micro-Cut Shredder,West,Consumer,23/4/2011,Standard Class,California,Machines,5,6,0.2,1,97,0.338,4,288,377,287.97
Furniture,San Jose,United States,Nicole Fjeld,19/4/2011,CA-2011-169460,95123,"Executive Impressions 13"" Chairman Wall Clock",West,Home Office,21/4/2011,Second Class,California,Furnishings,2,3,0,1,27,0.35,3,76,100,76.14
Office Supplies,Arlington,United States,Allen Goldenen,19/4/2011,CA-2011-158470,22204,GBC Durable Plastic Covers,South,Consumer,23/4/2011,Second Class,Virginia,Binders,4,3,0,1,27,0.46,3,58,76,58.05
Office Supplies,Arlington,United States,Allen Goldenen,19/4/2011,CA-2011-158470,22204,Xerox 232,South,Consumer,23/4/2011,Second Class,Virginia,Paper,4,3,0,1,34,0.48,11,71,93,71.28
Furniture,Houston,United States,Seth Vernon,20/4/2011,CA-2011-134572,77070,Bush Advantage Collection Round Conference Table,Central,Consumer,22/4/2011,Second Class,Texas,Tables,2,3,0.3,1,-96,-0.129,5,744,975,744.1
Furniture,Houston,United States,Seth Vernon,20/4/2011,CA-2011-134572,77070,Riverside Furniture Stanwyck Manor Table Series,Central,Consumer,22/4/2011,Second Class,Texas,Tables,2,3,0.3,1,-132,-0.329,2,402,526,401.59
Office Supplies,Houston,United States,Seth Vernon,20/4/2011,CA-2011-134572,77070,"Personal Folder Holder, Ebony",Central,Consumer,22/4/2011,Second Class,Texas,Storage,2,3,0.2,1,6,0.125,5,45,59,44.84
Furniture,Los Angeles,United States,Benjamin Patterson,20/4/2011,CA-2011-101462,90045,"GE 4 Foot Flourescent Tube, 40 Watt",West,Consumer,25/4/2011,Standard Class,California,Furnishings,5,6,0,1,28,0.46,4,60,79,59.92
Office Supplies,Los Angeles,United States,Allen Armold,21/4/2011,CA-2011-158064,90008,ACCOHIDE Binder by Acco,West,Consumer,25/4/2011,Standard Class,California,Binders,4,6,0.2,1,6,0.338,5,17,22,16.52
Office Supplies,Henderson,United States,Dorothy Badders,21/4/2011,CA-2011-136336,42420,"SAFCO Commercial Wire Shelving, Black",South,Corporate,26/4/2011,Standard Class,Kentucky,Storage,5,6,0,1,0,0,6,829,1086,828.84
Office Supplies,Troy,United States,Aaron Hawkins,22/4/2011,CA-2011-122070,12180,"ACCOHIDE 3-Ring Binder, Blue, 1""",East,Corporate,24/4/2011,Second Class,New York,Binders,2,3,0.2,1,3,0.338,3,10,13,9.91
Office Supplies,Troy,United States,Aaron Hawkins,22/4/2011,CA-2011-122070,12180,Staples,East,Corporate,24/4/2011,Second Class,New York,Envelopes,2,3,0,1,121,0.49,8,248,325,247.84
Office Supplies,Philadelphia,United States,Theresa Swint,23/4/2011,US-2011-112564,19134,Wilson Jones Suede Grain Vinyl Binders,East,Corporate,24/4/2011,First Class,Pennsylvania,Binders,1,1,0.7,1,-2,-0.7,3,3,3,2.5
Office Supplies,San Francisco,United States,Nathan Mautz,23/4/2011,CA-2011-111857,94109,Xerox 1891,West,Home Office,26/4/2011,Second Class,California,Paper,3,3,0,1,23,0.47,1,49,64,48.91
Furniture,Columbus,United States,Laurel Beltran,23/4/2011,US-2011-150119,43229,"Global Leather Highback Executive Chair with Pneumatic Height Adjustment, Black",East,Home Office,27/4/2011,Standard Class,Ohio,Chairs,4,6,0.3,1,-12,-0.043,2,281,369,281.37
Furniture,Columbus,United States,Laurel Beltran,23/4/2011,US-2011-150119,43229,"Global Leather Highback Executive Chair with Pneumatic Height Adjustment, Black",East,Home Office,27/4/2011,Standard Class,Ohio,Chairs,4,6,0.3,1,-12,-0.043,2,281,369,281.37
Furniture,Columbus,United States,Laurel Beltran,23/4/2011,US-2011-150119,43229,G.E. Halogen Desk Lamp Bulbs,East,Home Office,27/4/2011,Standard Class,Ohio,Furnishings,4,6,0.2,1,8,0.35,4,22,29,22.34
Office Supplies,Columbus,United States,Laurel Beltran,23/4/2011,US-2011-150119,43229,Zipper Ring Binder Pockets,East,Home Office,27/4/2011,Standard Class,Ohio,Binders,4,6,0.7,1,-5,-0.7,8,7,10,7.49
Office Supplies,Houston,United States,Dianna Arnett,25/4/2011,US-2011-157406,77095,12 Colored Short Pencils,Central,Home Office,29/4/2011,Standard Class,Texas,Art,4,6,0.2,1,1,0.088,3,6,8,6.24
Office Supplies,Houston,United States,Dianna Arnett,25/4/2011,US-2011-157406,77095,Xerox 1985,Central,Home Office,29/4/2011,Standard Class,Texas,Paper,4,6,0.2,1,4,0.35,2,10,14,10.37
Technology,Wilmington,United States,Lena Creighton,25/4/2011,CA-2011-110100,28403,AT&T CL2909,South,Consumer,29/4/2011,Standard Class,North Carolina,Phones,4,6,0.2,1,38,0.125,3,302,396,302.38
Furniture,San Gabriel,United States,Beth Thompson,25/4/2011,CA-2011-166954,91776,GuestStacker Chair with Chrome Finish Legs,West,Home Office,30/4/2011,Standard Class,California,Chairs,5,6,0.2,1,149,0.1,5,1487,1949,1487.04
Furniture,San Gabriel,United States,Beth Thompson,25/4/2011,CA-2011-166954,91776,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""",West,Home Office,30/4/2011,Standard Class,California,Furnishings,5,6,0,1,64,0.21,5,303,397,303.25
Office Supplies,San Gabriel,United States,Beth Thompson,25/4/2011,CA-2011-166954,91776,Kensington 6 Outlet MasterPiece HOMEOFFICE Power Control Center,West,Home Office,30/4/2011,Standard Class,California,Appliances,5,6,0,1,79,0.29,3,271,355,270.72
Office Supplies,Los Angeles,United States,Marc Harrigan,26/4/2011,CA-2011-116785,90036,Newell 347,West,Home Office,30/4/2011,Standard Class,California,Art,4,6,0,1,6,0.29,5,21,28,21.4
Office Supplies,Los Angeles,United States,Marc Harrigan,26/4/2011,CA-2011-116785,90036,Avery 495,West,Home Office,30/4/2011,Standard Class,California,Labels,4,6,0,1,6,0.46,2,13,17,12.6
Furniture,Los Angeles,United States,Aleksandra Gannaway,26/4/2011,CA-2011-147298,90049,Bevis Steel Folding Chairs,West,Corporate,3/5/2011,Standard Class,California,Chairs,7,6,0.2,1,23,0.1,3,230,302,230.28
Office Supplies,Los Angeles,United States,Aleksandra Gannaway,26/4/2011,CA-2011-147298,90049,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",West,Corporate,3/5/2011,Standard Class,California,Binders,7,6,0.2,1,6,0.313,6,18,24,18.29
Technology,San Francisco,United States,Arianne Irving,28/4/2011,CA-2011-131387,94122,Samsung Galaxy Mega 6.3,West,Consumer,30/4/2011,First Class,California,Phones,2,1,0.2,1,126,0.075,5,1680,2201,1679.96
Office Supplies,Baltimore,United States,Muhammed Yedwab,28/4/2011,CA-2011-118976,21215,Blackstonian Pencils,East,Corporate,3/5/2011,Standard Class,Maryland,Art,5,6,0,1,1,0.28,2,5,7,5.34
Office Supplies,Baltimore,United States,Muhammed Yedwab,28/4/2011,CA-2011-118976,21215,"Acco Data Flex Cable Posts For Top & Bottom Load Binders, 6"" Capacity",East,Corporate,3/5/2011,Standard Class,Maryland,Binders,5,6,0,1,9,0.45,2,21,27,20.86
Office Supplies,Baltimore,United States,Muhammed Yedwab,28/4/2011,CA-2011-118976,21215,Avery 488,East,Corporate,3/5/2011,Standard Class,Maryland,Labels,5,6,0,1,2,0.48,1,3,4,3.15
Office Supplies,Newark,United States,George Bell,28/4/2011,CA-2011-140228,43055,Avery File Folder Labels,East,Corporate,3/5/2011,Standard Class,Ohio,Labels,5,6,0.2,1,3,0.363,3,7,9,6.91
Office Supplies,Baltimore,United States,Muhammed Yedwab,28/4/2011,CA-2011-118976,21215,Recycled Steel Personal File for Standard File Folders,East,Corporate,3/5/2011,Standard Class,Maryland,Storage,5,6,0,1,129,0.26,9,498,652,497.61
Office Supplies,Newark,United States,George Bell,28/4/2011,CA-2011-140228,43055,"Carina Mini System Audio Rack, Model AR050B",East,Corporate,3/5/2011,Standard Class,Ohio,Storage,5,6,0.2,1,-38,-0.213,2,178,233,177.57
Office Supplies,Newark,United States,George Bell,28/4/2011,CA-2011-140228,43055,X-Rack File for Hanging Folders,East,Corporate,3/5/2011,Standard Class,Ohio,Storage,5,6,0.2,1,2,0.075,3,27,36,27.1
Technology,Jamestown,United States,David Smith,28/4/2011,CA-2011-132983,14701,Logitech G600 MMO Gaming Mouse,East,Corporate,3/5/2011,Standard Class,New York,Accessories,5,6,0,1,58,0.36,2,160,210,159.98
Furniture,Lake Charles,United States,Harry Greene,29/4/2011,CA-2011-142727,70601,"Global Stack Chair without Arms, Black",South,Consumer,1/5/2011,Second Class,Louisiana,Chairs,2,3,0,1,13,0.25,2,52,68,51.96
Office Supplies,Lake Charles,United States,Harry Greene,29/4/2011,CA-2011-142727,70601,Avery Non-Stick Heavy Duty View Round Locking Ring Binders,South,Consumer,1/5/2011,Second Class,Louisiana,Binders,2,3,0,1,9,0.48,3,18,24,17.94
Furniture,Memphis,United States,Laura Armstrong,29/4/2011,CA-2011-107811,38109,Global Leather Executive Chair,South,Corporate,3/5/2011,Standard Class,Tennessee,Chairs,4,6,0.2,1,70,0.125,2,562,736,561.58
Office Supplies,Memphis,United States,Laura Armstrong,29/4/2011,CA-2011-107811,38109,2300 Heavy-Duty Transfer File Systems by Perma,South,Corporate,3/5/2011,Standard Class,Tennessee,Storage,4,6,0.2,1,-1,-0.013,5,100,131,99.92
Furniture,Rochester,United States,Lauren Leatherbury,29/4/2011,CA-2011-134061,14609,Dax Clear Box Frame,East,Consumer,4/5/2011,Standard Class,New York,Furnishings,5,6,0,1,6,0.34,2,17,23,17.46
Technology,Dover,United States,Katherine Hughes,29/4/2011,CA-2011-118304,19901,Square Credit Card Reader,East,Consumer,4/5/2011,Standard Class,Delaware,Phones,5,6,0,1,5,0.26,2,20,26,19.98
Office Supplies,Louisville,United States,Justin MacKendrick,30/4/2011,CA-2011-160094,40214,Hunt Boston Vacuum Mount KS Pencil Sharpener,South,Consumer,2/5/2011,First Class,Kentucky,Art,2,1,0,1,45,0.26,5,175,229,174.95
Office Supplies,Louisville,United States,Justin MacKendrick,30/4/2011,CA-2011-160094,40214,Economy Rollaway Files,South,Consumer,2/5/2011,First Class,Kentucky,Storage,2,1,0,1,215,0.26,5,826,1082,826
Technology,Jackson,United States,Tamara Manning,30/4/2011,CA-2011-156006,39212,Maxell 4.7GB DVD-RW 3/Pack,South,Consumer,2/5/2011,Second Class,Mississippi,Accessories,2,3,0,1,16,0.34,3,48,63,47.79
Office Supplies,Columbus,United States,Andrew Roberts,2/5/2011,CA-2011-115056,43229,Belkin 6 Outlet Metallic Surge Strip,East,Consumer,2/5/2011,Same Day,Ohio,Appliances,0,0,0.2,1,2,0.075,3,26,34,26.14
Technology,Lakeland,United States,Cari Schnelling,2/5/2011,CA-2011-124618,33801,Brother DCP1000 Digital 3 in 1 Multifunction Machine,South,Consumer,4/5/2011,Second Class,Florida,Copiers,2,3,0.2,1,90,0.188,2,480,629,479.98
Office Supplies,Appleton,United States,Joni Sundaresam,3/5/2011,CA-2011-130274,54915,Avery 481,Central,Home Office,5/5/2011,First Class,Wisconsin,Labels,2,1,0,1,10,0.48,7,22,28,21.56
Office Supplies,Yonkers,United States,Nathan Cano,3/5/2011,CA-2011-135755,10701,"Avery Durable Plastic 1"" Binders",East,Consumer,10/5/2011,Standard Class,New York,Binders,7,6,0.2,1,4,0.363,3,11,14,10.9
Office Supplies,Yonkers,United States,Nathan Cano,3/5/2011,CA-2011-135755,10701,GBC Poly Designer Binding Covers,East,Consumer,10/5/2011,Standard Class,New York,Binders,7,6,0.2,1,15,0.363,3,40,53,40.18
Furniture,Middletown,United States,Andrew Allen,4/5/2011,CA-2011-155271,6457,DAX Wood Document Frame,East,Consumer,4/5/2011,Same Day,Connecticut,Furnishings,0,0,0,1,10,0.36,2,27,36,27.46
Office Supplies,Houston,United States,Nat Carroll,4/5/2011,CA-2011-111899,77036,Boston Home & Office Model 2000 Electric Pencil Sharpeners,Central,Consumer,5/5/2011,First Class,Texas,Art,1,1,0.2,1,3,0.075,2,38,50,37.84
Office Supplies,Houston,United States,Nat Carroll,4/5/2011,CA-2011-111899,77036,OIC Thumb-Tacks,Central,Consumer,5/5/2011,First Class,Texas,Fasteners,1,1,0.2,1,2,0.338,6,5,7,5.47
Furniture,Seattle,United States,Bill Shonely,4/5/2011,US-2011-148194,98105,"Eldon Regeneration Recycled Desk Accessories, Smoke",West,Corporate,7/5/2011,First Class,Washington,Furnishings,3,1,0,1,4,0.32,7,12,16,12.18
Office Supplies,Seattle,United States,Bill Shonely,4/5/2011,US-2011-148194,98105,Holmes Odor Grabber,West,Corporate,7/5/2011,First Class,Washington,Appliances,3,1,0,1,19,0.33,4,58,76,57.68
Office Supplies,Jackson,United States,Paul MacIntyre,4/5/2011,CA-2011-117709,49201,Fellowes Binding Cases,Central,Consumer,8/5/2011,Standard Class,Michigan,Binders,4,6,0,1,21,0.45,4,47,61,46.8
Office Supplies,Arlington,United States,Giulietta Dortch,5/5/2011,CA-2011-111934,22204,Storex Dura Pro Binders,South,Corporate,7/5/2011,First Class,Virginia,Binders,2,1,0,1,5,0.45,2,12,16,11.88
Office Supplies,Arlington,United States,Giulietta Dortch,5/5/2011,CA-2011-111934,22204,Staples,South,Corporate,7/5/2011,First Class,Virginia,Paper,2,1,0,1,17,0.47,1,35,46,35.44
Furniture,San Antonio,United States,Emily Burns,5/5/2011,CA-2011-110219,78207,"Global Value Mid-Back Manager's Chair, Gray",Central,Consumer,8/5/2011,First Class,Texas,Chairs,3,1,0.3,1,-9,-0.071,3,128,168,127.87
Office Supplies,Richmond,United States,Peter Fuller,5/5/2011,CA-2011-166457,40475,Newell 350,South,Consumer,9/5/2011,Second Class,Kentucky,Art,4,3,0,1,2,0.29,2,7,9,6.56
Office Supplies,Richmond,United States,Peter Fuller,5/5/2011,CA-2011-166457,40475,"Adams ""While You Were Out"" Message Pads",South,Consumer,9/5/2011,Second Class,Kentucky,Paper,4,3,0,1,4,0.45,3,9,12,9.42
Office Supplies,Richmond,United States,Peter Fuller,5/5/2011,CA-2011-166457,40475,Xerox 1933,South,Consumer,9/5/2011,Second Class,Kentucky,Paper,4,3,0,1,12,0.47,2,25,32,24.56
Office Supplies,Freeport,United States,Katharine Harms,5/5/2011,CA-2011-160738,61032,Eldon Portable Mobile Manager,Central,Corporate,10/5/2011,Standard Class,Illinois,Storage,5,6,0.2,1,4,0.088,2,45,59,45.25
